Gym Name,Facility,Sub-Facility,Category,Phone Numbers,Day,Start Time,End Time,Restrictions,Equipment Type,Equipment Name,Quantity,Workout Type,Item,Price,Image Url
Appel,Fitness Center,,Equipment,,,,,,Cardio Machines,Precor treadmills,4,Endurance,,,
Appel,Fitness Center,,Equipment,,,,,,Cardio Machines,Elliptical trainers,4,Endurance,,,
Appel,Fitness Center,,Equipment,,,,,,Cardio Machines,AMTs,4,Endurance,,,
Appel,Fitness Center,,Equipment,,,,,,Cardio Machines,Recumbent and upright bikes,4,Recovery,,,
Appel,Fitness Center,,Equipment,,,,,,Cardio Machines,C2 rowing machines,4,Recovery,,,
Appel,Fitness Center,,Equipment,,,,,,Free Weights,Dumbbells,2.5LB - 80LB,Upperbody,,,
Appel,Fitness Center,,Equipment,,,,,,Free Weights,Kettleweights,10LB - 80LB,Upperbody,,,
Appel,Fitness Center,,Equipment,,,,,,Free Weights,Flat benches,4,Upperbody,,,
Appel,Fitness Center,,Equipment,,,,,,Free Weights,Bench Press,1,Upperbody,,,
Appel,Fitness Center,,Equipment,,,,,,Free Weights,Squat Rack,2,Lowerbody,,,
Appel,Fitness Center,,Equipment,,,,,,Cable Rack,VMX Rope Trainer,1,Functional,,,
Appel,Fitness Center,,Equipment,,,,,,Cable Rack,Paramount Cable Machine,1,Functional,,,
Appel,Fitness Center,,Equipment,,,,,,Stretching Area,Octogon Functional Trainer,1,Functional,,,
Appel,Fitness Center,,Equipment,,,,,,Stretching Area,Turf with Sled Push,1,Functional,,,
Appel,Fitness Center,,Equipment,,,,,,Stretching Area,Jump ropes,1,Endurance,,,
Appel,Fitness Center,,Equipment,,,,,,Stretching Area,Jungle Gym Bars,1,Upperbody,,,
Appel,Fitness Center,,Equipment,,,,,,Stretching Area,TRX Strap,1,Functional,,,
Appel,Fitness Center,,Equipment,,,,,,Stretching Area,Pylo Boxes,4,Functional,,,
Appel,Fitness Center,,Equipment,,,,,,Stretching Area,Core Bags,12,Functional,,,
Appel,Fitness Center,,Equipment,,,,,,Stretching Area,Griprs,6,Functional,,,
Appel,Fitness Center,,Equipment,,,,,,Stretching Area,Medicine Ball,16,Functional,,,
Appel,Fitness Center,,Equipment,,,,,,Stretching Area,Exercise Ball,3,Functional,,,
Appel,Fitness Center,,Equipment,,,,,,Stretching Area,Elastic Bands,7,Functional,,,
Appel,Fitness Center,,Equipment,,,,,,Stretching Area,Sand Bags,2,Functional,,,
Appel,Fitness Center,,Equipment,,,,,,Stretching Area,Bulgarian Bags,4,Functional,,,
Appel,Fitness Center,,Equipment,,,,,,Stretching Area,Mat,19,Functional,,,
Appel,Fitness Center,,Equipment,,,,,,Stretching Area,Exercise Ball Platform,1,Functional,,,
Appel,Fitness Center,,Equipment,,,,,,Stretching Area,Tire,1,Functional,,,
Appel,Fitness Center,,Equipment,,,,,,Stretching Area,Powerlift Boxes,6,Functional,,,
Appel,Miscellaneous,Service Desk,Phone Numbers,6072550204,,,,,,,,,,,
Helen Newman,Bowling Alley,,Hours,,Monday,5:00 PM,10:00 PM,,,,,,,,
Helen Newman,Bowling Alley,,Hours,,Tuesday,5:00 PM,10:00 PM,,,,,,,,
Helen Newman,Bowling Alley,,Hours,,Wednesday,5:00 PM,10:00 PM,,,,,,,,
Helen Newman,Bowling Alley,,Hours,,Thursday,5:00 PM,10:00 PM,,,,,,,,
Helen Newman,Bowling Alley,,Hours,,Friday,5:00 PM,11:00 PM,,,,,,,,
Helen Newman,Bowling Alley,,Hours,,Saturday,2:00 PM,11:00 PM,,,,,,,,
Helen Newman,Bowling Alley,,Hours,,Sunday,Closed,Closed,,,,,,,,
Helen Newman,Bowling Alley,,Hours,,Wednesday,6:30 PM,8:00 PM,Leagues,,,,,,,
Helen Newman,Bowling Alley,,Prices,,,,,,,,,,Price per game,$3.50 ,
Helen Newman,Bowling Alley,,Prices,,,,,,,,,,Shoe rental,$2.50 ,
Helen Newman,Fitness Center,,Equipment,,,,,,Cardio Machines,Precor treadmills,10,Endurance,,,
Helen Newman,Fitness Center,,Equipment,,,,,,Cardio Machines,Elliptical trainers,12,Endurance,,,
Helen Newman,Fitness Center,,Equipment,,,,,,Cardio Machines,AMTs,4,Endurance,,,
Helen Newman,Fitness Center,,Equipment,,,,,,Cardio Machines,Expresso bikes,5,Endurance,,,
Helen Newman,Fitness Center,,Equipment,,,,,,Cardio Machines,Recumbent and upright bikes,3,Recovery,,,
Helen Newman,Fitness Center,,Equipment,,,,,,Cardio Machines,C2 rowing machines,2,Recovery,,,
Helen Newman,Fitness Center,,Equipment,,,,,,Cardio Machines,Upper Body Ergometer,1,Recovery,,,
Helen Newman,Fitness Center,,Equipment,,,,,,Precor Selectorized Machines,Leg Press,1,Lowerbody,,,
Helen Newman,Fitness Center,,Equipment,,,,,,Precor Selectorized Machines,Seated Calf Raise,1,Lowerbody,,,
Helen Newman,Fitness Center,,Equipment,,,,,,Precor Selectorized Machines,Seated Leg Curl,1,Lowerbody,,,
Helen Newman,Fitness Center,,Equipment,,,,,,Precor Selectorized Machines,Leg Extension,1,Lowerbody,,,
Helen Newman,Fitness Center,,Equipment,,,,,,Precor Selectorized Machines,Inner/Outer Thigh,1,Lowerbody,,,
Helen Newman,Fitness Center,,Equipment,,,,,,Precor Selectorized Machines,Glute Extension,1,Lowerbody,,,
Helen Newman,Fitness Center,,Equipment,,,,,,Precor Selectorized Machines,Rotary Torso,1,Upperbody,,,
Helen Newman,Fitness Center,,Equipment,,,,,,Precor Selectorized Machines,Back Extension,1,Upperbody,,,
Helen Newman,Fitness Center,,Equipment,,,,,,Precor Selectorized Machines,Converging Shoulder Press,1,Upperbody,,,
Helen Newman,Fitness Center,,Equipment,,,,,,Precor Selectorized Machines,Converging Chest Press,1,Upperbody,,,
Helen Newman,Fitness Center,,Equipment,,,,,,Precor Selectorized Machines,Dip/Chin Assist,1,Upperbody,,,
Helen Newman,Fitness Center,,Equipment,,,,,,Precor Selectorized Machines,Rear Deltoid/Pectoral Fly,1,Upperbody,,,
Helen Newman,Fitness Center,,Equipment,,,,,,Free Weights,Flat benches,4,Upperbody,,,
Helen Newman,Fitness Center,,Equipment,,,,,,Free Weights,Dumbbells,3LB - 100LB,Upperbody,,,
Helen Newman,Fitness Center,,Equipment,,,,,,Free Weights,Bench Press,1,Upperbody,,,
Helen Newman,Fitness Center,,Equipment,,,,,,Free Weights,Squat Rack,2,Lowerbody,,,
Helen Newman,Fitness Center,,Equipment,,,,,,Cable Rack,Jungle Gym Bars,1,Upperbody,,,
Helen Newman,Fitness Center,,Equipment,,,,,,Cable Rack,Lat Pull,1,Upperbody,,,
Helen Newman,Fitness Center,,Equipment,,,,,,Cable Rack,Seated Cable Row,1,Upperbody,,,
Helen Newman,Fitness Center,,Equipment,,,,,,Cable Rack,Cable Pull,2,Upperbody,,,
Helen Newman,Fitness Center,,Equipment,,,,,,Stretching Area,Core Bags,5,Functional,,,
Helen Newman,Fitness Center,,Equipment,,,,,,Stretching Area,Griprs,11,Functional,,,
Helen Newman,Fitness Center,,Equipment,,,,,,Stretching Area,TRX Strap,1,Functional,,,
Helen Newman,Fitness Center,,Equipment,,,,,,Stretching Area,Ab Roller,4,Functional,,,
Helen Newman,Fitness Center,,Equipment,,,,,,Stretching Area,Exercise Ball,5,Functional,,,
Helen Newman,Fitness Center,,Equipment,,,,,,Stretching Area,Mat,11,Functional,,,
Helen Newman,Fitness Center,,Phone Numbers,6072546728,,,,,,,,,,,
Helen Newman,Gymnasium,,Hours,,Monday,6:00 AM,12:00 AM,,,,,,,,
Helen Newman,Gymnasium,,Hours,,Tuesday,6:00 AM,12:00 AM,,,,,,,,
Helen Newman,Gymnasium,,Hours,,Wednesday,6:00 AM,12:00 AM,,,,,,,,
Helen Newman,Gymnasium,,Hours,,Thursday,6:00 AM,12:00 AM,,,,,,,,
Helen Newman,Gymnasium,,Hours,,Friday,6:00 AM,12:00 AM,,,,,,,,
Helen Newman,Gymnasium,,Hours,,Saturday,10:00 AM,12:00 AM,,,,,,,,
Helen Newman,Gymnasium,,Hours,,Sunday,10:00 AM,12:00 AM,,,,,,,,
Helen Newman,Gymnasium,Court #1,Court,,Monday,6:00 AM,12:00 AM,Basketball,,,,,,,
Helen Newman,Gymnasium,Court #1,Court,,Tuesday,6:00 AM,12:00 AM,Basketball,,,,,,,
Helen Newman,Gymnasium,Court #1,Court,,Wednesday,6:00 AM,12:00 AM,Basketball,,,,,,,
Helen Newman,Gymnasium,Court #1,Court,,Thursday,6:00 AM,12:00 AM,Basketball,,,,,,,
Helen Newman,Gymnasium,Court #1,Court,,Friday,6:00 AM,12:00 AM,Basketball,,,,,,,
Helen Newman,Gymnasium,Court #1,Court,,Saturday,10:00 AM,12:00 AM,Basketball,,,,,,,
Helen Newman,Gymnasium,Court #1,Court,,Sunday,10:00 AM,12:00 AM,Basketball,,,,,,,
Helen Newman,Gymnasium,Court #2,Court,,Monday,6:00 PM,12:00 AM,Badminton,,,,,,,
Helen Newman,Gymnasium,Court #2,Court,,Tuesday,6:00 PM,12:00 AM,Badminton,,,,,,,
Helen Newman,Gymnasium,Court #2,Court,,Wednesday,6:00 PM,12:00 AM,Volleyball,,,,,,,
Helen Newman,Gymnasium,Court #2,Court,,Thursday,6:00 PM,12:00 AM,Volleyball,,,,,,,
Helen Newman,Gymnasium,Court #2,Court,,Friday,6:00 AM,12:00 AM,Badminton|Volleyball,,,,,,,
Helen Newman,Gymnasium,Court #2,Court,,Saturday,10:00 AM,12:00 AM,Badminton,,,,,,,
Helen Newman,Gymnasium,Court #2,Court,,Sunday,10:00 AM,12:00 AM,Volleyball,,,,,,,
Helen Newman,Miscellaneous,Service Desk,Phone Numbers,6072558164,,,,,,,,,,,
Helen Newman,Miscellaneous,Classroom/Dance Studio,Sub-Facilities,,,,,,,,,,,,
Noyes,Fitness Center,,Equipment,,,,,,Cable Rack,Ab Powerlift,1,Functional,,,
Noyes,Fitness Center,,Equipment,,,,,,Stretching Area,Ab Rollers,4,Functional,,,
Noyes,Fitness Center,,Equipment,,,,,,Cardio Machines,AMTs,4,Endurance,,,
Noyes,Fitness Center,,Equipment,,,,,,Free Weights,Bench Press,2,Upperbody,,,
Noyes,Fitness Center,,Equipment,,,,,,Stretching Area,Bosu Ball,1,Functional,,,
Noyes,Fitness Center,,Equipment,,,,,,Cardio Machines,C2 rowing machines,1,Recovery,,,
Noyes,Fitness Center,,Equipment,,,,,,Cable Rack,Cable Pulls,3,Upperbody,,,
Noyes,Fitness Center,,Equipment,,,,,,Stretching Area,Core Bags,5,Functional,,,
Noyes,Fitness Center,,Equipment,,,,,,Cable Rack,Dip/Chin Assist,1,Upperbody,,,
Noyes,Fitness Center,,Equipment,,,,,,Free Weights,Dumbbells,3LB - 100LB,Upperbody,,,
Noyes,Fitness Center,,Equipment,,,,,,Cardio Machines,Elliptical trainers,10,Endurance,,,
Noyes,Fitness Center,,Equipment,,,,,,Stretching Area,Exercise Ball,2,Functional,,,
Noyes,Fitness Center,,Equipment,,,,,,Cardio Machines,Expresso bikes,4,Endurance,,,
Noyes,Fitness Center,,Equipment,,,,,,Free Weights,Flat benches,3,Upperbody,,,
Noyes,Fitness Center,,Equipment,,,,,,Stretching Area,Griprs,6,Functional,,,
Noyes,Fitness Center,,Equipment,,,,,,Stretching Area,Jungle Gym Bars,1,Upperbody,,,
Noyes,Fitness Center,,Equipment,,,,,,Cable Rack,Lat Pull,2,Upperbody,,,
